Iteration,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
6,3,(19 18),(25 9),619,543,155,(19 18) (19 17) (19 16) (19 15) (19 14) (20 14) (21 14) (22 14) (22 13) (22 12) (22 11) (22 10) (23 10) (24 10) (25 10) (25 9) 
6,4,(19 18),(25 9),548,498,129,(19 18) (19 17) (19 16) (19 15) (19 14) (19 13) (19 12) (19 11) (20 11) (21 11) (22 11) (23 11) (24 11) (25 11) (25 10) (25 9) 
7,1,(5 27),(3 0),700,670,290,(5 27) (5 26) (5 25) (4 25) (4 24) (3 24) (3 23) (3 22) (3 21) (3 20) (3 19) (3 18) (3 17) (3 16) (3 15) (3 14) (3 13) (3 12) (3 11) (3 10) (3 9) (3 8) (3 7) (3 6) (3 5) (3 4) (3 3) (3 2) (3 1) (3 0) 
7,2,(5 27),(3 0),560,526,300,(5 27) (5 26) (5 25) (5 24) (5 23) (5 22) (5 21) (5 20) (5 19) (5 18) (5 17) (5 16) (5 15) (5 14) (5 13) (5 12) (5 11) (5 10) (5 9) (5 8) (5 7) (5 6) (5 5) (5 4) (5 3) (5 2) (5 1) (5 0) (4 0) (3 0) 
7,3,(5 27),(3 0),852,801,290,(5 27) (5 26) (5 25) (5 24) (5 23) (5 22) (5 21) (5 20) (5 19) (5 18) (5 17) (5 16) (4 16) (4 15) (4 14) (4 13) (4 12) (4 11) (4 10) (4 9) (4 8) (4 7) (4 6) (4 5) (3 5) (3 4) (3 3) (3 2) (3 1) (3 0) 
7,4,(5 27),(3 0),870,832,280,(5 27) (5 26) (5 25) (5 24) (5 23) (5 22) (5 21) (5 20) (5 19) (5 18) (5 17) (4 17) (4 16) (4 15) (4 14) (4 13) (4 12) (4 11) (4 10) (4 9) (4 8) (4 7) (3 7) (3 6) (3 5) (3 4) (3 3) (3 2) (3 1) (3 0) 
8,1,(23 25),(20 3),674,636,250,(23 25) (23 24) (23 23) (23 22) (23 21) (23 20) (23 19) (23 18) (23 17) (23 16) (23 15) (23 14) (23 13) (23 12) (22 12) (22 11) (22 10) (21 10) (20 10) (20 9) (20 8) (20 7) (20 6) (20 5) (20 4) (20 3) 
8,2,(23 25),(20 3),552,513,265,(23 25) (23 24) (23 23) (23 22) (23 21) (23 20) (23 19) (23 18) (23 17) (23 16) (23 15) (23 14) (23 13) (23 12) (23 11) (23 10) (23 9) (23 8) (23 7) (23 6) (23 5) (23 4) (23 3) (22 3) (21 3) (20 3) 
8,3,(23 25),(20 3),810,761,250,(23 25) (23 24) (23 23) (23 22) (23 21) (23 20) (22 20) (22 19) (22 18) (22 17) (22 16) (22 15) (21 15) (21 14) (21 13) (21 12) (21 11) (21 10) (20 10) (20 9) (20 8) (20 7) (20 6) (20 5) (20 4) (20 3) 
8,4,(23 25),(20 3),824,788,236,(23 25) (23 24) (23 23) (23 22) (23 21) (23 20) (23 19) (23 18) (23 17) (23 16) (22 16) (21 16) (21 15) (21 14) (21 13) (21 12) (21 11) (21 10) (21 9) (21 8) (21 7) (21 6) (20 6) (20 5) (20 4) (20 3) 
9,1,(22 16),(12 16),251,208,100,(22 16) (21 16) (20 16) (19 16) (18 16) (17 16) (16 16) (15 16) (14 16) (13 16) (12 16) 
9,2,(22 16),(12 16),349,298,150,(22 16) (21 16) (20 16) (19 16) (18 16) (17 16) (16 16) (15 16) (14 16) (13 16) (12 16) 
9,3,(22 16),(12 16),410,355,125,(22 16) (21 16) (20 16) (19 16) (18 16) (17 16) (16 16) (15 16) (14 16) (13 16) (12 16) 
9,4,(22 16),(12 16),377,311,105,(22 16) (21 16) (20 16) (19 16) (18 16) (17 16) (16 16) (15 16) (14 16) (13 16) (12 16) 
