Iteration,Algorithm,Cenary,Heuristic,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
2,GS,3,2,(18 5),(29 16),482,385,339,(18 5) (17 5) (17 6) (17 7) (18 7) (19 7) (20 7) (20 8) (20 9) (20 10) (21 10) (22 10) (23 10) (23 11) (24 11) (24 12) (24 13) (23 13) (23 14) (23 15) (23 16) (24 16) (24 17) (25 17) (25 18) (26 18) (27 18) (27 17) (28 17) (28 16) (29 16) 
2,A*,3,2,(18 5),(29 16),352,209,332,(18 5) (18 6) (18 7) (18 8) (18 9) (18 10) (17 10) (17 11) (17 12) (18 12) (18 13) (18 14) (17 14) (17 15) (17 16) (18 16) (18 17) (19 17) (20 17) (21 17) (22 17) (23 17) (23 16) (23 15) (24 15) (25 15) (26 15) (27 15) (28 15) (29 15) (29 16) 
2,GS,4,1,(18 5),(29 16),188,127,260,(18 5) (18 4) (19 4) (19 3) (20 3) (21 3) (22 3) (23 3) (23 4) (24 4) (24 5) (24 6) (25 6) (25 7) (25 8) (25 9) (26 9) (26 10) (27 10) (27 11) (28 11) (28 12) (29 12) (29 13) (29 14) (29 15) (29 16) 
2,A*,4,1,(18 5),(29 16),1345,972,278,(18 5) (17 5) (17 6) (17 7) (18 7) (18 8) (19 8) (19 9) (20 9) (20 10) (20 11) (21 11) (21 12) (22 12) (23 12) (24 12) (25 12) (26 12) (27 12) (28 12) (28 11) (29 11) (30 11) (30 12) (30 13) (29 13) (29 14) (29 15) (29 16) 
2,GS,4,2,(18 5),(29 16),737,612,783,(18 5) (18 6) (19 6) (20 6) (20 5) (20 4) (20 3) (20 2) (19 2) (18 2) (17 2) (16 2) (16 3) (16 4) (15 4) (15 5) (14 5) (13 5) (12 5) (12 6) (12 7) (11 7) (10 7) (9 7) (9 8) (8 8) (8 9) (8 10) (7 10) (6 10) (5 10) (5 11) (5 12) (4 12) (3 12) (2 12) (1 12) (1 13) (1 14) (2 14) (2 15) (3 15) (3 16) (3 17) (3 18) (3 19) (3 20) (4 20) (5 20) (6 20) (7 20) (8 20) (8 21) (9 21) (10 21) (10 20) (10 19) (10 18) (10 17) (11 17) (12 17) (13 17) (14 17) (15 17) (16 17) (17 17) (17 16) (18 16) (19 16) (20 16) (21 16) (22 16) (23 16) (24 16) (25 16) (26 16) (27 16) (28 16) (29 16) 
2,A*,4,2,(18 5),(29 16),278,140,323,(18 5) (18 6) (18 7) (18 8) (17 8) (17 9) (17 10) (16 10) (15 10) (15 11) (15 12) (15 13) (15 14) (15 15) (15 16) (16 16) (17 16) (18 16) (19 16) (19 17) (20 17) (20 18) (21 18) (22 18) (23 18) (24 18) (25 18) (25 17) (26 17) (26 16) (27 16) (28 16) (29 16) 
3,GS,1,1,(27 9),(2 28),889,770,620,(27 9) (26 9) (26 10) (26 11) (27 11) (28 11) (29 11) (29 12) (29 13) (29 14) (30 14) (30 15) (30 16) (29 16) (28 16) (28 17) (28 18) (29 18) (29 19) (30 19) (30 20) (30 21) (30 22) (30 23) (30 24) (30 25) (30 26) (29 26) (28 26) (27 26) (26 26) (25 26) (25 27) (25 28) (25 29) (25 30) (24 30) (23 30) (22 30) (21 30) (20 30) (19 30) (18 30) (17 30) (16 30) (15 30) (14 30) (13 30) (12 30) (11 30) (10 30) (9 30) (8 30) (7 30) (6 30) (5 30) (5 29) (5 28) (5 27) (4 27) (3 27) (2 27) (2 28) 
3,A*,1,1,(27 9),(2 28),935,761,480,(27 9) (26 9) (26 10) (25 10) (25 11) (25 12) (25 13) (25 14) (24 14) (23 14) (22 14) (21 14) (20 14) (19 14) (18 14) (18 15) (18 16) (18 17) (17 17) (16 17) (15 17) (15 16) (15 15) (14 15) (13 15) (12 15) (12 16) (11 16) (10 16) (9 16) (9 17) (9 18) (9 19) (9 20) (9 21) (8 21) (8 22) (8 23) (8 24) (8 25) (8 26) (8 27) (8 28) (7 28) (6 28) (5 28) (4 28) (3 28) (2 28) 
3,GS,1,2,(27 9),(2 28),937,843,660,(27 9) (27 10) (28 10) (29 10) (29 9) (30 9) (30 8) (30 7) (29 7) (28 7) (27 7) (26 7) (26 8) (25 8) (24 8) (23 8) (23 7) (23 6) (23 5) (22 5) (21 5) (20 5) (19 5) (19 4) (19 3) (18 3) (17 3) (16 3) (15 3) (14 3) (13 3) (12 3) (12 4) (12 5) (12 6) (12 7) (12 8) (12 9) (11 9) (10 9) (10 10) (10 11) (10 12) (10 13) (10 14) (9 14) (8 14) (7 14) (6 14) (5 14) (5 15) (4 15) (3 15) (2 15) (2 16) (2 17) (2 18) (2 19) (2 20) (2 21) (2 22) (2 23) (2 24) (2 25) (2 26) (2 27) (2 28) 
3,A*,1,2,(27 9),(2 28),477,309,500,(27 9) (27 10) (28 10) (29 10) (29 11) (29 12) (28 12) (28 13) (27 13) (27 14) (27 15) (26 15) (25 15) (24 15) (24 16) (23 16) (22 16) (21 16) (20 16) (19 16) (18 16) (17 16) (17 17) (16 17) (15 17) (14 17) (13 17) (12 17) (11 17) (10 17) (9 17) (9 18) (9 19) (10 19) (10 20) (10 21) (10 22) (10 23) (10 24) (10 25) (9 25) (8 25) (7 25) (6 25) (6 26) (6 27) (5 27) (5 28) (4 28) (3 28) (2 28) 
