Iteration,Algorithm,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
3,4,2,(15 0),(25 22),94,33,295,(15 0) (15 1) (15 2) (15 3) (15 4) (15 5) (16 5) (17 5) (18 5) (19 5) (20 5) (21 5) (22 5) (23 5) (24 5) (25 5) (25 6) (25 7) (25 8) (25 9) (25 10) (25 11) (25 12) (25 13) (25 14) (25 15) (25 16) (25 17) (25 18) (25 19) (25 20) (25 21) (25 22) 
4,1,1,(30 12),(28 24),49,33,140,(30 12) (30 13) (30 14) (30 15) (30 16) (30 17) (30 18) (30 19) (30 20) (30 21) (30 22) (29 22) (29 23) (28 23) (28 24) 
4,1,2,(30 12),(28 24),58,36,140,(30 12) (29 12) (28 12) (28 13) (28 14) (28 15) (28 16) (28 17) (28 18) (28 19) (28 20) (28 21) (28 22) (28 23) (28 24) 
4,2,1,(30 12),(28 24),56,40,150,(30 12) (30 13) (30 14) (30 15) (30 16) (30 17) (30 18) (30 19) (30 20) (30 21) (30 22) (30 23) (29 23) (29 24) (28 24) 
4,2,2,(30 12),(28 24),43,28,150,(30 12) (30 13) (30 14) (30 15) (30 16) (30 17) (30 18) (30 19) (30 20) (30 21) (30 22) (30 23) (30 24) (29 24) (28 24) 
4,3,1,(30 12),(28 24),51,34,140,(30 12) (30 13) (30 14) (30 15) (30 16) (30 17) (29 17) (29 18) (29 19) (29 20) (29 21) (29 22) (28 22) (28 23) (28 24) 
4,3,2,(30 12),(28 24),38,24,140,(30 12) (30 13) (30 14) (30 15) (30 16) (30 17) (29 17) (29 18) (29 19) (29 20) (29 21) (29 22) (28 22) (28 23) (28 24) 
4,4,1,(30 12),(28 24),39,24,131,(30 12) (30 13) (30 14) (30 15) (30 16) (30 17) (30 18) (30 19) (30 20) (30 21) (30 22) (29 22) (28 22) (28 23) (28 24) 
4,4,2,(30 12),(28 24),35,15,139,(30 12) (30 13) (30 14) (30 15) (30 16) (30 17) (29 17) (28 17) (28 18) (28 19) (28 20) (28 21) (28 22) (28 23) (28 24) 
5,1,1,(27 28),(6 20),269,228,290,(27 28) (26 28) (25 28) (24 28) (23 28) (22 28) (21 28) (20 28) (19 28) (18 28) (17 28) (16 28) (15 28) (14 28) (13 28) (13 27) (13 26) (12 26) (11 26) (11 25) (11 24) (10 24) (9 24) (9 23) (8 23) (8 22) (8 21) (7 21) (6 21) (6 20) 
